"Code","Description"
"0721","Extracción de minerales de uranio y torio"
"0729","Extracción de otros minerales metalíferos no ferrosos"
"08","Explotación de otras minas y canteras"
"081","Extracción de piedra, arena y arcilla"
"0810","Extracción de piedra, arena y arcilla"
"089","Explotación de minas y canteras n.c.p."
"0891","Extracción de minerales para la fabricación de abonos y productos químicos"
"0892","Extracción de turba"
"0893","Extracción de sal"
"0899","Explotación de otras minas y canteras n.c.p."
"09","Actividades de servicios de apoyo para la explotación de minas y canteras"
"091","Actividades de apoyo para la extracción de petróleo y gas natural"
"0910","Actividades de apoyo para la extracción de petróleo y gas natural"
"099","Actividades de apoyo para otras actividades de explotación de minas y canteras"
"0990","Actividades de apoyo para otras actividades de explotación de minas y canteras"
"C","Industrias manufactureras"
"10","Elaboración de productos alimenticios"
"101","Elaboración y conservación de carne"
"1010","Elaboración y conservación de carne"
"102","Elaboración y conservación de pescado, crustáceos y moluscos"
"1020","Elaboración y conservación de pescado, crustáceos y moluscos"
"103","Elaboración y conservación de frutas, legumbres y hortalizas"
"1030","Elaboración y conservación de frutas, legumbres y hortalizas"
"104","Elaboración de aceites y grasas de origen vegetal y animal"
"1040","Elaboración de aceites y grasas de origen vegetal y animal"
"105","Elaboración de productos lácteos"
"1050","Elaboración de productos lácteos"
"106","Elaboración de productos de molinería, almidones y productos derivados del almidón"
"1061","Elaboración de productos de molinería"
"1062","Elaboración de almidones y productos derivados del almidón"
"107","Elaboración de otros productos alimenticios"
"1071","Elaboración de productos de panadería"
"1072","Elaboración de azúcar"
"1073","Elaboración de cacao y chocolate y de productos de confitería"
"1074","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares"
"1075","Elaboración de comidas y platos preparados"
"1079","Elaboración de otros productos alimenticios n.c.p."
"108","Elaboración de piensos preparados para animales"
"1080","Elaboración de piensos preparados para animales"
"11","Elaboración de bebidas"
"110","Elaboración de bebidas"
"1101","Destilación, rectificación y mezcla de bebidas alcohólicas"
"1102","Elaboración de vinos"
"1103","Elaboración de bebidas malteadas y de malta"
"1104","Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas"
"12","Elaboración de productos de tabaco"
"120","Elaboración de productos de tabaco"
"1200","Elaboración de productos de tabaco"
"13","Fabricación de productos textiles"
"131","Hilatura, tejedura y acabado de productos textiles"
"1311","Preparación e hilatura de fibras textiles"
"1312","Tejedura de productos textiles"
"1313","Acabado de productos textiles"
"139","Fabricación de otros productos textiles"
"1391","Fabricación de tejidos de punto y ganchillo"
"1392","Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir"
"1393","Fabricación de tapices y alfombras"
"1394","Fabricación de cuerdas, cordeles, bramantes y redes"
"1399","Fabricación de otros productos textiles n.c.p."
"14","Fabricación de prendas de vestir"
"141","Fabricación de prendas de vestir, excepto prendas de piel"
"1410","Fabricación de prendas de vestir, excepto prendas de piel"
"142","Fabricación de artículos de piel"
"1420","Fabricación de artículos de piel"
"143","Fabricación de artículos de punto y ganchillo"
"1430","Fabricación de artículos de punto y ganchillo"
"15","Fabricación de productos de cuero y productos conexos"
"151","Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles"
"1511","Curtido y adobo de cueros; adobo y teñido de pieles"
"1512","Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería"
"152","Fabricación de calzado"
"1520","Fabricación de calzado"
"16","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables"
"161","Aserrado y acepilladura de madera"
"1610","Aserrado y acepilladura de madera"
"162","Fabricación de productos de madera, corcho, paja y materiales trenzables"
"1621","Fabricación de hojas de madera para enchapado y tableros a base de madera"
"1622","Fabricación de partes y piezas de carpintería para edificios y construcciones"
"1623","Fabricación de recipientes de madera"
"1629","Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables"
"17","Fabricación de papel y de productos de papel"
"170","Fabricación de papel y de productos de papel"
"1701","Fabricación de pasta de madera, papel y cartón"
"1702","Fabricación de papel y cartón ondulado y de envases de papel y cartón"
"1709","Fabricación de otros artículos de papel y cartón"
"18","Impresión y reproducción de grabaciones"
"181","Impresión y actividades de servicios relacionadas con la impresión"
"1811","Impresión"
"1812","Actividades de servicios relacionadas con la impresión"
"182","Reproducción de grabaciones"
"1820","Reproducción de grabaciones"
"19","Fabricación de coque y productos de la refinación del petróleo"
"191","Fabricación de productos de hornos de coque"
"1910","Fabricación de productos de hornos de coque"
"192","Fabricación de productos de la refinación del petróleo"
"1920","Fabricación de productos de la refinación del petróleo"
"20","Fabricación de sustancias y productos químicos"
"201","Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias"
"2011","Fabricación de sustancias químicas básicas"
"2012","Fabricación de abonos y compuestos de nitrógeno"
"2013","Fabricación de plásticos y caucho sintético en formas primarias"
"202","Fabricación de otros productos químicos"
"2021","Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
"2022","Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
"2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
"2029","Fabricación de otros productos químicos n.c.p."
"203","Fabricación de fibras artificiales"
"2030","Fabricación de fibras artificiales"
"21","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"210","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"2100","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"22","Fabricación de productos de caucho y de plástico"
"221","Fabricación de productos de caucho"
"2211","Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho"
"2219","Fabricación de otros productos de caucho"
"222","Fabricación de productos de plástico"
"2220","Fabricación de productos de plástico"
"23","Fabricación de otros productos minerales no metálicos"
"231","Fabricación de vidrio y productos de vidrio"
"2310","Fabricación de vidrio y productos de vidrio"
"239","Fabricación de productos minerales no metálicos n.c.p."
"2391","Fabricación de productos refractarios"
"2392","Fabricación de materiales de construcción de arcilla"
"2393","Fabricación de otros productos de porcelana y de cerámica"
"2394","Fabricación de cemento, cal y yeso"
"2395","Fabricación de artículos de hormigón, cemento y yeso"
"2396","Corte, talla y acabado de la piedra"
"2399","Fabricación de otros productos minerales no metálicos n.c.p."
"24","Fabricación de metales comunes"
"241","Industrias básicas de hierro y acero"
"2410","Industrias básicas de hierro y acero"
"242","Fabricación de productos primarios de metales preciosos y otros metales no ferrosos"
"2420","Fabricación de productos primarios de metales preciosos y otros metales no ferrosos"
"243","Fundición de metales"
"2431","Fundición de hierro y acero"
"2432","Fundición de metales no ferrosos"
"25","Fabricación de productos elaborados de metal, excepto maquinaria y equipo"
"251","Fabricación de productos metálicos para uso estructural, tanques, depósitos y recipientes de metal"
"2511","Fabricación de productos metálicos para uso estructural"
"2512","Fabricación de tanques, depósitos y recipientes de metal"
"2513","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
"252","Fabricación de armas y municiones"
"2520","Fabricación de armas y municiones"
"259","Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales"
"2591","Forja, prensado, estampado y laminado de metales; pulvimetalurgia"
"2592","Tratamiento y revestimiento de metales; maquinado"
"2593","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
"2599","Fabricación de otros productos elaborados de metal n.c.p."
"26","Fabricación de productos de informática, de electrónica y de óptica"
"261","Fabricación de componentes y tableros electrónicos"
"2610","Fabricación de componentes y tableros electrónicos"
"262","Fabricación de ordenadores y equipo periférico"
"2620","Fabricación de ordenadores y equipo periférico"
"263","Fabricación de equipo de comunicaciones"
"2630","Fabricación de equipo de comunicaciones"
"264","Fabricación de aparatos electrónicos de consumo"
"2640","Fabricación de aparatos electrónicos de consumo"
"265","Fabricación de equipo de medición, prueba, navegación y control y de relojes"
"2651","Fabricación de equipo de medición, prueba, navegación y control"
"2652","Fabricación de relojes"
"266","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
"2660","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
"267","Fabricación de instrumentos ópticos y equipo fotográfico"
"2670","Fabricación de instrumentos ópticos y equipo fotográfico"
"268","Fabricación de soportes magnéticos y ópticos"
"2680","Fabricación de soportes magnéticos y ópticos"
"27","Fabricación de equipo eléctrico"
"271","Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica"
"2710","Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica"
"272","Fabricación de pilas, baterías y acumuladores"
"2720","Fabricación de pilas, baterías y acumuladores"
"273","Fabricación de cables y dispositivos de cableado"
"2731","Fabricación de cables de fibra óptica"
"2732","Fabricación de otros hilos y cables eléctricos"
"2733","Fabricación de dispositivos de cableado"
"274","Fabricación de equipo eléctrico de iluminación"
"2740","Fabricación de equipo eléctrico de iluminación"
"275","Fabricación de aparatos de uso doméstico"
"2750","Fabricación de aparatos de uso doméstico"
"279","Fabricación de otros tipos de equipo eléctrico"
"2790","Fabricación de otros tipos de equipo eléctrico"
"28","Fabricación de maquinaria y equipo n.c.p."
"281","Fabricación de maquinaria de uso general"
"2811","Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
"2812","Fabricación de equipo de propulsión de fluidos"
"2813","Fabricación de otras bombas, compresores, grifos y válvulas"
"2814","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
"2815","Fabricación de hornos, hogares y quemadores"
"2816","Fabricación de equipo de elevación y manipulación"
"2817","Fabricación de maquinaria y equipo de oficina (excepto ordenadores y equipo periférico)"
"2818","Fabricación de herramientas de mano motorizadas"
"2819","Fabricación de otros tipos de maquinaria de uso general"
"282","Fabricación de maquinaria de uso especial"
"2821","Fabricación de maquinaria agropecuaria y forestal"
"2822","Fabricación de maquinaria para la conformación de metales y de máquinas herramienta"
"2823","Fabricación de maquinaria metalúrgica"
"2824","Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción"
"2825","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
"2826","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
"2829","Fabricación de otros tipos de maquinaria de uso especial"
"29","Fabricación de vehículos automotores, remolques y semirremolques"
"291","Fabricación de vehículos automotores"
"2910","Fabricación de vehículos automotores"
"292","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"
"2920","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"
"293","Fabricación de partes, piezas y accesorios para vehículos automotores"
"2930","Fabricación de partes, piezas y accesorios para vehículos automotores"
"30","Fabricación de otro equipo de transporte"
"301","Construcción de buques y otras embarcaciones"
"3011","Construcción de buques y estructuras flotantes"
"3012","Construcción de embarcaciones de recreo y de deporte"
"302","Fabricación de locomotoras y material rodante"
"3020","Fabricación de locomotoras y material rodante"
"303","Fabricación de aeronaves, naves espaciales y maquinaria conexa"
"3030","Fabricación de aeronaves, naves espaciales y maquinaria conexa"
"304","Fabricación de vehículos militares de combate"
"3040","Fabricación de vehículos militares de combate"
"309","Fabricación de equipo de transporte n.c.p."
"3091","Fabricación de motocicletas"
"3092","Fabricación de bicicletas y de sillones de ruedas para inválidos"
"3099","Fabricación de otros tipos de equipo de transporte n.c.p."
"31","Fabricación de muebles"
"310","Fabricación de muebles"
"3100","Fabricación de muebles"
"32","Otras industrias manufactureras"
"321","Fabricación de joyas, bisutería y artículos conexos"
"3211","Fabricación de joyas y artículos conexos"
"3212","Fabricación de bisutería y artículos conexos"
"322","Fabricación de instrumentos de música"
"3220","Fabricación de instrumentos de música"
"323","Fabricación de artículos de deporte"
"3230","Fabricación de artículos de deporte"
"324","Fabricación de juegos y juguetes"
"3240","Fabricación de juegos y juguetes"
"325","Fabricación de instrumentos y materiales médicos y odontológicos"
"3250","Fabricación de instrumentos y materiales médicos y odontológicos"
"329","Otras industrias manufactureras n.c.p."
"3290","Otras industrias manufactureras n.c.p."
"33","Reparación e instalación de maquinaria y equipo"
"331","Reparación de productos elaborados de metal, maquinaria y equipo"
"3311","Reparación de productos elaborados de metal"
"3312","Reparación de maquinaria"
"3313","Reparación de equipo electrónico y óptico"
"3314","Reparación de equipo eléctrico"
"3315","Reparación de equipo de transporte, excepto vehículos automotores"
"3319","Reparación de otros tipos de equipo"
"332","Instalación de maquinaria y equipo industriales"
"3320","Instalación de maquinaria y equipo industriales"
"D","Suministro de electricidad, gas, vapor y aire acondicionado"
"35","Suministro de electricidad, gas, vapor y aire acondicionado"
"351","Generación, transmisión y distribución de energía eléctrica"
"3510","Generación, transmisión y distribución de energía eléctrica"
"352","Fabricación de gas; distribución de combustibles gaseosos por tuberías"
"3520","Fabricación de gas; distribución de combustibles gaseosos por tuberías"
"353","Suministro de vapor y de aire acondicionado"
"3530","Suministro de vapor y de aire acondicionado"
"E","Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación"
"36","Captación, tratamiento y distribución de agua"
"360","Captación, tratamiento y distribución de agua"
"3600","Captación, tratamiento y distribución de agua"
"37","Evacuación de aguas residuales"
"370","Evacuación de aguas residuales"
"3700","Evacuación de aguas residuales"
"38","Recogida, tratamiento y eliminación de desechos; recuperación de materiales"
"381","Recogida de desechos"
"3811","Recogida de desechos no peligrosos"
"3812","Recogida de desechos peligrosos"
"382","Tratamiento y eliminación de desechos"
"3821","Tratamiento y eliminación de desechos no peligrosos"
"3822","Tratamiento y eliminación de desechos peligrosos"
"383","Recuperación de materiales"
"3830","Recuperación de materiales"
"39","Actividades de descontaminación y otros servicios de gestión de desechos"
"390","Actividades de descontaminación y otros servicios de gestión de desechos"
"3900","Actividades de descontaminación y otros servicios de gestión de desechos"
"F","Construcción"
"41","Construcción de edificios"
"410","Construcción de edificios"
"4100","Construcción de edificios"
"42","Obras de ingeniería civil"
"421","Construcción de carreteras y vías de ferrocarril"
"4210","Construcción de carreteras y vías de ferrocarril"
"422","Construcción de proyectos de servicio público"
"4220","Construcción de proyectos de servicio público"
"429","Construcción de otras obras de ingeniería civil"
"4290","Construcción de otras obras de ingeniería civil"
"43","Actividades especializadas de construcción"
"431","Demolición y preparación del terreno"
"4311","Demolición"
"4312","Preparación del terreno"
"432","Instalaciones eléctricas y de fontanería y otras instalaciones para obras de construcción"
"4321","Instalaciones eléctricas"
"4322","Instalaciones de fontanería, calefacción y aire acondicionado"
"4329","Otras instalaciones para obras de construcción"
"433","Terminación y acabado de edificios"
"4330","Terminación y acabado de edificios"
"439","Otras actividades especializadas de construcción"
"4390","Otras actividades especializadas de construcción"
"G","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas"
"45","Comercio al por mayor y al por menor y reparación de vehículos automotores y motocicletas"
"451","Venta de vehículos automotores"
"4510","Venta de vehículos automotores"
"452","Mantenimiento y reparación de vehículos automotores"
"4520","Mantenimiento y reparación de vehículos automotores"
"453","Venta de partes, piezas y accesorios para vehículos automotores"
"4530","Venta de partes, piezas y accesorios para vehículos automotores"
"454","Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios"
"4540","Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios"
"46","Comercio al por mayor, excepto el de vehículos automotores y motocicletas"
"461","Venta al por mayor a cambio de una retribución o por contrata"
"4610","Venta al por mayor a cambio de una retribución o por contrata"
"462","Venta al por mayor de materias primas agropecuarias y animales vivos"
"4620","Venta al por mayor de materias primas agropecuarias y animales vivos"
"463","Venta al por mayor de alimentos, bebidas y tabaco"
"4630","Venta al por mayor de alimentos, bebidas y tabaco"
"464","Venta al por mayor de enseres domésticos"
"4641","Venta al por mayor de productos textiles, prendas de vestir y calzado"
"4649","Venta al por mayor de otros enseres domésticos"
"465","Venta al por mayor de maquinaria, equipo y materiales"
"4651","Venta al por mayor de ordenadores, equipo periférico y programas de informática"
"4652","Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
"4653","Venta al por mayor de maquinaria, equipo y materiales agropecuarios"
"4659","Venta al por mayor de otros tipos de maquinaria y equipo"
"466","Otras actividades de venta al por mayor especializada"
"4661","Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos"
"4662","Venta al por mayor de metales y minerales metalíferos"
"4663","Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción"
"4669","Venta al por mayor de desperdicios, desechos y chatarra y otros productos n.c.p."
"469","Venta al por mayor no especializada"
"4690","Venta al por mayor no especializada"
"47","Comercio al por menor, excepto el de vehículos automotores y motocicletas"
"471","Venta al por menor en comercios no especializados"
"4711","Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco"
"4719","Otras actividades de venta al por menor en comercios no especializados"
"472","Venta al por menor de alimentos, bebidas y tabaco en comercios especializados"
"4721","Venta al por menor de alimentos en comercios especializados"
"4722","Venta al por menor de bebidas en comercios especializados"
"4723","Venta al por menor de productos de tabaco en comercios especializados"
"473","Venta al por menor de combustibles para vehículos automotores en comercios especializados"
"4730","Venta al por menor de combustibles para vehículos automotores en comercios especializados"
"474","Venta al por menor de equipo de información y de comunicaciones en comercios especializados"
"4741","Venta al por menor de ordenadores, equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados"
"4742","Venta al por menor de equipo de sonido y de video en comercios especializados"
"475","Venta al por menor de otros enseres domésticos en comercios especializados"
"4751","Venta al por menor de productos textiles en comercios especializados"
"4752","Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados"
"4753","Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados"
"4759","Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados"
"476","Venta al por menor de productos culturales y recreativos en comercios especializados"
"4761","Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados"
"4762","Venta al por menor de grabaciones de música y de vídeo en comercios especializados"
"4763","Venta al por menor de equipo de deporte en comercios especializados"
"4764","Venta al por menor de juegos y juguetes en comercios especializados"
"477","Venta al por menor de otros productos en comercios especializados"
"4771","Venta al por menor de prendas de vestir, calzado y artículos de cuero en comercios especializados"
"4772","Venta al por menor de productos farmacéuticos y médicos, cosméticos y artículos de tocador en comercios especializados"
"4773","Venta al por menor de otros productos nuevos en comercios especializados"
"4774","Venta al por menor de artículos de segunda mano"
"478","Venta al por menor en puestos de venta y mercados"
"4781","Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados"
"4782","Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados"
"4789","Venta al por menor de otros productos en puestos de venta y mercados"
"479","Venta al por menor no realizada en comercios, puestos de venta o mercados"
"4791","Venta al por menor por correo y por Internet"
"4799","Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados"
"H","Transporte y almacenamiento"
"49","Transporte por vía terrestre y transporte por tuberías"
"491","Transporte por ferrocarril"
"4911","Transporte interurbano de pasajeros por ferrocarril"
"4912","Transporte de carga por ferrocarril"
"492","Otras actividades de transporte por vía terrestre"
"4921","Transporte urbano y suburbano de pasajeros por vía terrestre"
"4922","Otras actividades de transporte por vía terrestre"
"4923","Transporte de carga por carretera"
"493","Transporte por tuberías"
"4930","Transporte por tuberías"
"50","Transporte por vía acuática"
"501","Transporte marítimo y de cabotaje"
"5011","Transporte de pasajeros marítimo y de cabotaje"
"5012","Transporte de carga marítimo y de cabotaje"
"502","Transporte por vías de navegación interiores"
"5021","Transporte de pasajeros por vías de navegación interiores"
"5022","Transporte de carga por vías de navegación interiores"
"51","Transporte por vía aérea"
"511","Transporte de pasajeros por vía aérea"
"5110","Transporte de pasajeros por vía aérea"
"512","Transporte de carga por vía aérea"
"5120","Transporte de carga por vía aérea"
"52","Almacenamiento y actividades de apoyo al transporte"
"521","Almacenamiento y depósito"
"5210","Almacenamiento y depósito"
"522","Actividades de apoyo al transporte"
"5221","Actividades de servicios vinculadas al transporte terrestre"
"5222","Actividades de servicios vinculadas al transporte acuático"
"5223","Actividades de servicios vinculadas al transporte aéreo"
"5224","Manipulación de la carga"
"5229","Otras actividades de apoyo al transporte"
"53","Actividades postales y de mensajería"
"531","Actividades postales"
"5310","Actividades postales"
"532","Actividades de mensajería"
"5320","Actividades de mensajería"
"I","Actividades de alojamiento y de servicio de comidas"
"55","Actividades de alojamiento"
"551","Actividades de alojamiento para estancias cortas"
"5510","Actividades de alojamiento para estancias cortas"
"552","Actividades de campamentos, parques de vehículos recreativos y parques de caravanas"
"5520","Actividades de campamentos, parques de vehículos recreativos y parques de caravanas"
"559","Otras actividades de alojamiento"
"5590","Otras actividades de alojamiento"
"56","Actividades de servicio de comidas y bebidas"
"561","Actividades de restaurantes y de servicio móvil de comidas"
"5610","Actividades de restaurantes y de servicio móvil de comidas"
"562","Suministro de comidas por encargo y otras actividades de servicio de comidas"
"5621","Suministro de comidas por encargo"
"5629","Otras actividades de servicio de comidas"
"563","Actividades de servicio de bebidas"
"5630","Actividades de servicio de bebidas"
"J","Información y comunicaciones"
"58","Actividades de edición"
"581","Edición de libros y publicaciones periódicas y otras actividades de edición"
"5811","Edición de libros"
"5812","Edición de directorios y listas de correo"
"5813","Edición de periódicos, revistas y otras publicaciones periódicas"
"5819","Otras actividades de edición"
"582","Edición de programas informáticos"
"5820","Edición de programas informáticos"
"59","Actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música"
"591","Actividades de producción de películas cinematográficas, vídeos y programas de televisión"
"5911","Actividades de producción de películas cinematográficas, vídeos y programas de televisión"
"5912","Actividades de postproducción de películas cinematográficas, vídeos y programas de televisión"
"5913","Actividades de distribución de películas cinematográficas, vídeos y programas de televisión"
"5914","Actividades de exhibición de películas cinematográficas y cintas de vídeo"
"592","Actividades de grabación de sonido y edición de música"
"5920","Actividades de grabación de sonido y edición de música"
"60","Actividades de programación y transmisión"
"601","Transmisiones de radio"
"6010","Transmisiones de radio"
"602","Programación y transmisiones de televisión"
"6020","Programación y transmisiones de televisión"
"61","Telecomunicaciones"
"611","Actividades de telecomunicaciones alámbricas"
"6110","Actividades de telecomunicaciones alámbricas"
"612","Actividades de telecomunicaciones inalámbricas"
"6120","Actividades de telecomunicaciones inalámbricas"
"613","Actividades de telecomunicaciones por satélite"
"6130","Actividades de telecomunicaciones por satélite"
"619","Otras actividades de telecomunicaciones"
"6190","Otras actividades de telecomunicaciones"
"62","Programación informática, consultoría de informática y actividades conexas"
"620","Programación informática, consultoría de informática y actividades conexas"
"6201","Programación informática"
"6202","Consultoría de informática y gestión de instalaciones informáticas"
"6209","Otras actividades de tecnología de la información y de servicios informáticos"
"63","Actividades de servicios de información"
"631","Procesamiento de datos, hospedaje y actividades conexas; portales web"
"6311","Procesamiento de datos, hospedaje y actividades conexas"
"6312","Portales web"
"639","Otras actividades de servicios de información"
"6391","Actividades de agencias de noticias"
"6399","Otras actividades de servicios de información n.c.p."
"K","Actividades financieras y de seguros"
"64","Actividades de servicios financieros, excepto las de seguros y fondos de pensiones"
"641","Intermediación monetaria"
"6411","Banca central"
"6419","Otros tipos de intermediación monetaria"
"642","Actividades de sociedades de cartera"
"6420","Actividades de sociedades de cartera"
"643","Fondos y sociedades de inversión y entidades financieras similares"
"6430","Fondos y sociedades de inversión y entidades financieras similares"
"649","Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones"
"6491","Arrendamiento financiero"
"6492","Otras actividades de concesión de crédito"
"6499","Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones, n.c.p."
"65","Seguros, reaseguros y fondos de pensiones, excepto planes de seguridad social de afiliación obligatoria"
"651","Seguros"
"6511","Seguros de vida"
"6512","Seguros generales"
"652","Reaseguros"
"6520","Reaseguros"
"653","Fondos de pensiones"
"6530","Fondos de pensiones"
"66","Actividades auxiliares de las actividades de servicios financieros"
"661","Actividades auxiliares de las actividades de servicios financieros, excepto las de seguros y fondos de pensiones"
"6611","Administración de mercados financieros"
"6612","Corretaje de valores y de contratos de productos básicos"
"6619","Otras actividades auxiliares de las actividades de servicios financieros"
"662","Actividades auxiliares de las actividades de seguros y fondos de pensiones"
"6621","Evaluación de riesgos y daños"
"6622","Actividades de agentes y corredores de seguros"
"6629","Otras actividades auxiliares de las actividades de seguros y fondos de pensiones"
"663","Actividades de gestión de fondos"
"6630","Actividades de gestión de fondos"
"L","Actividades inmobiliarias"
"68","Actividades inmobiliarias"
"681","Actividades inmobiliarias realizadas con bienes propios o arrendados"
"6810","Actividades inmobiliarias realizadas con bienes propios o arrendados"
"682","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata"
"6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata"
"M","Actividades profesionales, científicas y técnicas"
"69","Actividades jurídicas y de contabilidad"
"691","Actividades jurídicas"
"6910","Actividades jurídicas"
"692","Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal"
